ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
จตุสดมภ์	/tɕà tùt sà dom/
จน	/tɕon/
จนกรอบ	/tɕon krɔ̀ːp/
จนกระทั่ง	/tɕon kràʔ tʰâŋ/
จนกระทั่งถึง	/tɕon kràʔ tʰâŋ tʰɯ̌ŋ/
จนกว่า	/tɕon kwàː/
จนเกิน	/tɕon kɤːn/
จนเกินกว่า	/tɕon kɤːn kwàː/
จนใจ	/tɕon tɕaj/
จนชั้น	/tɕon tɕʰán/
จนด้วยเกล้า	/tɕon dûaj klâw/
จนได้	/tɕon dâj/
จนตรอก	/tɕon trɔ̀ːk/
จนแต้ม	/tɕon tɛ̂ːm/
จนถึง	/tɕon tʰɯ̌ŋ/
จนปัญญา	/tɕon pan jaː/
ฉอศก	/tɕʰɔ̌ː sòk/
ฉ้อ	/tɕʰɔ̂ː/
ฉ้อกลางเมือง	/tɕʰɔ̂ː klaːŋ mɯːaŋ/
ฉ้อโกง	/tɕʰɔ̂ː koːŋ/
ฉ้อฉล	/tɕʰɔ̂ː tɕʰǒn/
ฉ้อฉล	/tɕʰɔ̂ː tɕʰǒn/
ฉ้อราษฎร์บังหลวง	/tɕʰɔ̂ː râːt baŋ lǔːaŋ/
ฉ่อง	/tɕʰɔ̀ːŋ/
ฉ่อย	/tɕʰɔ̀ːj/
ฉะ	/tɕʰàʔ/
ฉะฉาน	/tɕʰàʔ tɕʰǎːn/
ฉะเชิงเทรา	/tɕʰàʔ tɕʰɤːŋ saw/
ฉะนั้น	/tɕʰàʔ nán/
ฉะนี้	/tɕʰàʔ níː/
ฉะอ้อน	/tɕʰàʔ ʔɔ̂ːn/
ฉัตร	/tɕʰàt/
ฉัตรมงคล	/tɕʰàt tràʔ moŋ kʰon/
ฉัน	/tɕʰǎn/
ชนวน	/tɕʰá nuːan/
ชนวนเหตุ	/tɕʰá nuːan hèːt/
ชนะ	/tɕʰá náʔ/
ชนะความ	/tɕʰá náʔ kʰwaːm/
ชนะเลิศ	/tɕʰá náʔ lɤ̂ːt/
ชนัก	/tɕʰá nák/
ชนักติดหลัง	/tɕʰá nák tìt lǎŋ/
ชนักติดหลัง	/tɕʰá nák tìt lǎŋ/
ชนาง	/tɕʰá naːŋ/
ชนิด	/tɕʰá nít/
ชนิดหนึ่ง	/tɕʰá nít nɯ̀ŋ/
ชนินทร์	/tɕʰá nin/
ชนิภรณ์	/tɕʰá níʔ pʰon/
ชบ.	/tɕʰon bùʔ riː/
ชบา	/tɕʰá baː/
ชพ.	/tɕʰum pʰɔːn/
ชพน.	/tɕʰɔː pʰɔː nɔː/
ชม	/tɕʰom/
ชมเขาลำเนาไพร เพลินใจเจริญตา	/tɕʰom kʰǎw lam naw pʰraj pʰlɤːn tɕaj tɕà rɤːn taː/
ชมชอบ	/tɕʰom tɕʰɔ̂ːp/
ชมตลาด	/tɕʰom tà làːt/
ชมทิวทัศน์	/tɕʰom tʰiw tʰát/
ชมวิว	/tɕʰom wiw/
ชม.	/tɕʰiːaŋ màj/
ชมเกดุ	/tɕʰom kèːt/
ชมเชย	/tɕʰom tɕʰɤːj/
ชมพู	/tɕʰom pʰuː/
ชมพูทวีป	/tɕʰom pʰuː tʰá wîːp/
ชมพู่มะเหมี่ยว	/tɕʰom pʰûː máʔ mìːaw/
ชมรม	/tɕʰom rom/
ชมรมนักวิจัยไทยความสุขชุมชน	/tɕʰom rom nák wíʔ tɕaj tʰaj kʰwaːm sùk tɕʰum tɕʰon/
ชย.	/tɕʰaj já pʰuːm/
ชยันตร์	/tɕʰá jan/
ชโย	/tɕʰá joː/
ชร.	/tɕʰiːaŋ raːj/
ชรบ.	/tɕʰɔː rɔː bɔː/
ชรา	/tɕʰá raː/
ชราภาพ	/tɕʰá raː pʰâːp/
ชราภาวาธิปไตย	/tɕʰá raː pʰaː waː tʰíp pà taj/
ชล	/tɕʰon/
ชลมารค	/tɕʰon lá mâːk/
ชลศาสตร์	/tɕʰon sàːt/
ชลบุรี	/tɕʰon bùʔ riː/
ชลบุรีเอฟซี	/tɕʰon bùʔ riː ʔèːf siː/
ซองแตก	/sɔːŋ tɛ̀ːk/
ซองบุหรี่	/sɔːŋ bùʔ rìː/
ซองปืน	/sɔːŋ pɯːn/
ซ่อง	/sɔ̂ːŋ/
ซ่องโจร	/sɔ̂ːŋ tɕoːn/
ซ่องสุม	/sɔ̂ːŋ sǔm/
ซ่องโสเภณี	/sɔ̂ːŋ sǒː pʰeː niː/
ซ้อง	/sɔ́ːŋ/
ซอน	/sɔːn/
ซ่อน	/sɔ̂ːn/
ซ่อนเงื่อน	/sɔ̂ːn ŋɯ̂ːan/
ซ่อนตัว	/sɔ̂ːn tuːa/
ซ่อนรูป	/sɔ̂ːn rûːp/
ซ่อนเร้น	/sɔ̂ːn rén/
ซ่อนเร้นอำพราง	/sɔ̂ːn rén ʔam pʰraːŋ/
ซ่อนไว้	/sɔ̂ːn wáj/
ซ่อนหา	/sɔ̂ːn hǎː/
ซ้อน	/sɔ́ːn/
ซ้อนท้าย	/sɔ́ːn tʰáːj/
ซ้อนท้ายกลาง	/sɔ́ːn tʰáːj klaːŋ/
ซ้อนท้ายสุด	/sɔ́ːn tʰáːj sùt/
ซอนนี่	/sɔːn nîː/
ซอนย่า	/sɔːn jâː/
ซอฟต์แวร์	/sɔ̂ːf wɛː/
ซ่อม	/sɔ̂ːm/
ซ่อมแซม	/sɔ̂ːm sɛːm/
ซ่อมแซม	/sɔ̂ːm sɛːm/
ซ่อมบำรุง	/sɔ̂ːm bam ruŋ/
ซ่อมสุม	/sɔ̂ːm sǔm/
ซ้อม	/sɔ́ːm/
ซ้อมมือ	/sɔ́ːm mɯː/
ซ้อมรบ	/sɔ́ːm róp/
ซ้อมเสมือนจริง	/sɔ́ːm sà mɯ̌ːan tɕiŋ/
ซอมซ่อ	/sɔːm sɔ̂ː/
ซอมบา	/sɔːm baː/
ซอย	/sɔːj/
ซอยตัน	/sɔːj tan/
ซอยเท้า	/sɔːj tʰáːw/
ซอยผม	/sɔːj pʰǒm/
ซอยรื่นฤดี	/sɔːj rɯ̂ːn rɯ́ʔ diː/
ซอยอารีย์	/sɔːj ʔaː riː/
ซอล	/sɔːl/
ซอลต์	/sɔːn/
ซอลต์เลกซิตี	/sɔːn lêːk síʔ tiː/
ซอส	/sɔ́ːt/
ต.	/tam bon/
ต.ค.	/tùʔ laː kʰom/
ต.ช.ด.	/tɔː tɕʰɔː dɔː/
ต.ม.	/tɔː mɔː/
ตก	/tòk/
ตกกระ	/tòk kràʔ/
ตกกระไดพลอยโจน	/tòk kràʔ daj pʰlɔːj tɕoːn/
ตกกระป๋อง	/tòk kràʔ pɔ̌ːŋ/
ตกกระป๋อง	/tòk kràʔ pɔ̌ːŋ/
ตกกล้า	/tòk klâː/
ตกขอบ	/tòk kʰɔ̀ːp/
ตกเขียว	/tòk kʰǐːaw/
ตกค้าง	/tòk kʰáːŋ/
ตกค่ำ	/tòk kʰâm/
ตกงาน	/tòk ŋaːn/
ตกจั่น	/tòk tɕàn/
ตกใจ	/tòk tɕaj/
ตกใจกลัว	/tòk tɕaj kluːa/
ตกใจกลัว	/tòk tɕaj kluːa/
ตกใจหมดเลย!	/tòk tɕaj mòt lɤːj/
ตกใจหมดเลย!	/tòk tɕaj mòt lɤːj/
ตกดึก	/tòk dɯ̀k/
ตกตะลึง	/tòk tàʔ lɯŋ/
ตกต่ำ	/tòk tàm/
ตกต่ำ	/tòk tàm/
ตกแต่ง	/tòk tɛ̀ŋ/
ตกถังข้าวสาร	/tòk tʰǎŋ kʰâːw sǎːn/
ตกทอด	/tòk tʰɔ̂ːt/
ตกที่นั่งลำบาก	/tòk tʰîː nâŋ lam bàːk/
ตกทุกข์ได้ยาก	/tòk tʰúk dâj jâːk/
ตกนรก	/tòk ná rók/
ตกนรก	/tòk ná rók/
ตกน้ำ	/tòk náːm/
ตกน้ำไม่ไหลตกไฟไม่ไหม้	/tòk náːm mâj lǎj tòk faj mâj mâj/
ตกใน	/tòk naj/
ตกเบ็ด	/tòk bèt/
ตกปลา 	/tòk plaː/
ตกปากรับคำ	/tòk pàːk ráp kʰam/
ตกเป็นเป้า	/tòk pen pâw/
ตกเป็นรอง	/tòk pen rɔːŋ/
ตกเป็นเหยื่อ	/tòk pen jɯ̀ːa/
ตกเป็นเหยื่อจาก	/tòk pen jɯ̀ːa tɕàːk/
ตกไป	/tòk paj/
ตกไป	/tòk paj/
ตกผลึก	/tòk pʰà lɯ̀k/
ถ.	/tʰà nǒn/
ถ. เยาวราช	/tʰà nǒn jaw wá râːt/
ถก	/tʰòk/
ถกเถียง	/tʰòk tʰǐːaŋ/
ถกเถียงโต้แย้ง	/tʰòk tʰǐːaŋ tôː jɛ́ːŋ/
ถกเถียงเสียงแตก	/tʰòk tʰǐːaŋ sǐːaŋ tɛ̀ːk/
ถกล	/tʰà kon/
ถงัน	/tʰà ŋǎn/
ถงาด	/tʰà ŋàːt/
ถด	/tʰòt/
ถดถอย	/tʰòt tʰɔ̌ːj/
ถดถอย	/tʰòt tʰɔ̌ːj/
ถดถอย	/tʰòt tʰɔ̌ːj/
ถดถอย	/tʰòt tʰɔ̌ːj/
ถนน	/tʰà nǒn/
ถนนข้าวสาร	/tʰà nǒn kʰâːw sǎːn/
ถนนชิดลม	/tʰà nǒn tɕʰít lom/
ถนนตรงดิ่วไปสู่นครราชสีมา	/tʰà nǒn troŋ dìw paj sùː ná kʰɔːn râːt tɕʰá sǐː maː/
ถนนที่สอง	/tʰà nǒn tʰîː sɔ̌ːŋ/
ถนนในเมือง	/tʰà nǒn naj mɯːaŋ/
ถนนพระราม	/tʰà nǒn pʰráʔ raːm/
ถนนเพชรบุรี	/tʰà nǒn pʰêːt bùʔ riː/
ถนนเพลินจิต	/tʰà nǒn pʰlɤːn tɕìt/
ถนนรัชดาภิเษก	/tʰà nǒn rát tɕʰá daː pʰíʔ sèːk/
ถนนราชดำเนิน	/tʰà nǒn râːt tɕʰá dam nɤːn/
ถนนราชดำริ	/tʰà nǒn râːt tɕʰá dam ríʔ/
ถนนราชปรารภ	/tʰà nǒn râːt tɕʰá praː róp/
ถนนลูกรัง	/tʰà nǒn lûːk raŋ/
ถนนเลน	/tʰà nǒn leːn/
ถนนเลี่ยงเมือง	/tʰà nǒn lîːaŋ mɯːaŋ/
ถนนวงแหวน	/tʰà nǒn woŋ wɛ̌ːn/
ถนนวิทยุ	/tʰà nǒn wít tʰá júʔ/
ถนนสาธร	/tʰà nǒn sǎː tʰɔːn/
ถนนสีลม	/tʰà nǒn sǐː lom/
ถนนสุขุมวิท	/tʰà nǒn sùʔ kʰǔm wít/
ถนนหนทาง	/tʰà nǒn hǒn tʰaːŋ/
ถนนหลวง	/tʰà nǒn lǔːaŋ/
ถนนหลัก	/tʰà nǒn làk/
ถนนใหญ่	/tʰà nǒn jàj/
ถนนอรุณประเสริฐ	/tʰà nǒn ʔà run pràʔ sɤ̀ːt/
ถนนอ่อนนุช	/tʰà nǒn ʔɔ̀ːn nút/
ถนอม	/tʰà nɔ̌ːm/
ท.บ.	/tʰá hǎːn bòk/
ท.ร.	/tʰá hǎːn rɯːa/
ท.ส.	/tʰɔː sɔ̌ː/
ทก.	/kràʔ suːaŋ tʰêːk noː loː jiː sǎː rá sǒn tʰêːt lɛ́ʔ kaːn sɯ̀ː sǎːn/
ทกล้า	/tʰá klâː/
ทคผ.	/tʰɔː kʰɔː pʰɔ̌ː/
ทงอี	/tʰoŋ ʔiː/
ทด	/tʰót/
ทดท้อ	/tʰót tʰɔ́ː/
ทดแทน	/tʰót tʰɛːn/
ทดรอง	/tʰót rɔːŋ/
ทดลองงาน	/tʰót lɔːŋ ŋaːn/
ทดเลข	/tʰót lêːk/
ทดเลขผิด	/tʰót lêːk pʰìt/
ทดเวลา	/tʰót weː laː/
ทดสอบ	/tʰót sɔ̀ːp/
ทดถอย	/tʰót tʰɔ̌ːj/
ทดน้ำ	/tʰót náːm/
ทดลอง	/tʰót lɔːŋ/
ทดลองดู	/tʰót lɔːŋ duː/
ทดลองแสดง	/tʰót lɔːŋ sà dɛːŋ/
ทดลองให้เห็นจริง	/tʰót lɔːŋ hâj hěn tɕiŋ/
ททท.	/tʰɔː tʰɔː tʰɔː/
ทน	/tʰon/
ทนทรมาน	/tʰon tʰɔː rá maːn/
ทนทาน	/tʰon tʰaːn/
ทนทาน	/tʰon tʰaːn/
ทนทุกข์ทรมาน	/tʰon tʰúk tʰɔː rá maːn/
ทนไฟ	/tʰon faj/
ทนไม่ไหว	/tʰon mâj wǎj/
ท้น	/tʰón/
ทนต์	/tʰon/
ทนต่อ	/tʰon tɔ̀ː/
ทนโท่	/tʰon tʰôː/
ทนาย	/tʰá naːj/
ทนายความ	/tʰá naːj kʰwaːm/
ทนายความแก้ต่าง	/tʰá naːj kʰwaːm kɛ̂ː tàːŋ/
ทนุ	/tʰá núʔ/
ธ	/tʰá/
ธ.ค.	/tʰan waː kʰom/
ธกส.	/tʰɔː kɔː sɔ̌ː/
ธง	/tʰoŋ/
ธงขาว	/tʰoŋ kʰǎːw/
ธงคำตอบ	/tʰoŋ kʰam tɔ̀ːp/
ธงแคนาดา 	/tʰoŋ kʰɛː naː daː/
ธงช้าง	/tʰoŋ tɕʰáːŋ/
ธงชาติ	/tʰoŋ tɕʰâːt/
ธงแดง	/tʰoŋ dɛːŋ/
ธงไตรรงค์ 	/tʰoŋ traj roŋ/
ธงนำ	/tʰoŋ nam/
ธงนำ	/tʰoŋ nam/
ธงประเทศไทย 	/tʰoŋ pràʔ tʰêːt tʰaj/
ธงสหประชาชาติ 	/tʰoŋ sà hà pràʔ tɕʰaː tɕʰâːt/
ธงเหลือง 	/tʰoŋ lɯ̌ːaŋ/
ธงอเมริกัน	/tʰoŋ ʔà meː ríʔ kan/
ธงอังกฤษ 	/tʰoŋ ʔaŋ krìt/
ธงชัย	/tʰoŋ tɕʰaj/
ธน	/tʰon/
ธนบัตร	/tʰá ná bàt/
ธนชาต	/tʰon tɕʰâːt/
ธนบุรี	/tʰon bùʔ riː/
ธนสาร	/tʰon sǎːn/
ธนัชชา	/tʰá nát tɕʰaː/
ธนากร	/tʰá naː kɔːn/
ธนาคาร	/tʰá naː kʰaːn/
ธนาคารกรุงไทย	/tʰá naː kʰaːn kruŋ tʰaj/
ธนาคารกรุงศรีอยุธยา	/tʰá naː kʰaːn kruŋ sǐː ʔà jút tʰá jaː/
ธนาคารกรุงเทพ	/tʰá naː kʰaːn kruŋ tʰêːp/
ธนาคารกลาง	/tʰá naː kʰaːn klaːŋ/
ธนาคารกสิกรไทย	/tʰá naː kʰaːn kà sìʔ kɔːn tʰaj/
ธนาคารการพาณิชย์	/tʰá naː kʰaːn kaːn pʰaː nít/
ธนาคารเกียรตินาคิน	/tʰá naː kʰaːn kiːan tìʔ naː kʰin/
ธนาคารชาติ	/tʰá naː kʰaːn tɕʰâːt/
ธนาคารชาร์เตอร์	/tʰá naː kʰaːn tɕʰaː tɤː/
ธนาคารทหารไทย	/tʰá naː kʰaːn tʰá hǎːn tʰaj/
ธนาคารไทยทนุ	/tʰá naː kʰaːn tʰaj tʰá núʔ/
ธนาคารไทยพาณิชย์	/tʰá naː kʰaːn tʰaj pʰaː nít/
ธนาคารธนชาต	/tʰá naː kʰaːn tʰon tɕʰâːt/
ธนาคารนครหลวงไทย	/tʰá naː kʰaːn ná kʰɔːn lǔːaŋ tʰaj/
ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย	/tʰá naː kʰaːn pʰát tʰá naː wíʔ sǎː hà kìt kʰà nàːt klaːŋ lɛ́ʔ kʰà nàːt jɔ̂ːm hɛ̀ŋ pràʔ tʰêːt tʰaj/
ธนาคารพาณิชย์	/tʰá naː kʰaːn pʰaː nít/
ธนาคารเพื่อการเกษตร และสหกรณ์การเกษตร	/tʰá naː kʰaːn pʰɯ̂ːa kaːn kà sèːt lɛ́ʔ sà hà kɔːn kaːn kà sèːt/
น.	/nɔː/
น.ต.	/naː waː ʔaː kàːt triː/
น.ต.ย.ท.	/nɔː tɔː jɔː tʰɔː/
น.ท.	/naː waː ʔaː kàːt tʰoː/
น.ย.	/naː wík kà joː tʰin/
น.ร.	/nák riːan/
น.ศ.	/nák sɯ̀k sǎː/
น.ส.	/nɔː sɔ̌ː/
น.ส.พ.	/nǎŋ sɯ̌ː pʰim/
น.อ.	/naː waː ʔaː kàːt ʔèːk/
นก	/nók/
นกกระจอก	/nók kràʔ tɕɔ̀ːk/
นกกระจอกเทศ	/nók kràʔ tɕɔ̀ːk tʰêːt/
นกกระจาบ	/nók kràʔ tɕàːp/
นกกระตั้ว	/nók kràʔ tûːa/
นกกระทา	/nók kràʔ tʰaː/
นกกระทุง 	/nók kràʔ tʰuŋ/
นกกระยาง	/nók kràʔ jaːŋ/
นกกระเรียน	/nók kràʔ riːan/
นกกระสา	/nók kràʔ sǎː/
นกกา	/nók kaː/
นกกาเหว่า	/nók kaː wàw/
นกกางเขน	/nók kaːŋ kʰěːn/
นกกำกวม	/nók kam kuːam/
นกแก้ว 	/nók kɛ̂ːw/
นกขมิ้น	/nók kʰà mîn/
นกเขา	/nók kʰǎw/
นกเขา	/nók kʰǎw/
นกเขาขัน	/nók kʰǎw kʰǎn/
นกเค้าแมว	/nók kʰáːw mɛːw/
นกเค้าแมว	/nók kʰáːw mɛːw/
นกเงือก	/nók ŋɯ̂ːak/
นกจาบคาเครา	/nók tɕàːp kʰaː kʰraw/
นกช้อน	/nók tɕʰɔ́ːn/
นกช้อนหอย	/nók tɕʰɔ́ːn hɔ̌ːj/
นกต่อ	/nók tɔ̀ː/
นกตะกรุม	/nók tàʔ krum/
นกแถบอเมริกาเหนือ	/nók tʰɛ̀ːp ʔà meː ríʔ kaː nɯ̌ːa/
นกน้อยในกรงทอง	/nók nɔ́ːj naj kroŋ tʰɔːŋ/
บ่	/bɔ̀ː/
บ่จอย	/bɔ̀ː tɕɔːj/
บ่แม่น	/bɔ̀ː mɛ̂ːn/
บ.	/bàːt/
บ.ก.	/bòt ban naː tʰíʔ kaːn/
บก	/bòk/
บก.	/bɯŋ kaːn/
บก.จร.	/kɔːŋ baŋ kʰáp kaːn tam rùːat tɕà raː tɕɔːn/
บก.สส.	/bɔː kɔː sɔ̌ː sɔ̌ː/
บกพร่อง	/bòk pʰrɔ̂ːŋ/
บกพร่องโดยสุจริต	/bòk pʰrɔ̂ːŋ doːj sùt tɕà rìt/
บขส.	/bɔː kʰɔ̌ː sɔ̌ː/
บ่ง	/bòŋ/
บ่งชัด	/bòŋ tɕʰát/
บ่งชี้	/bòŋ tɕʰíː/
บงการ	/boŋ kaːn/
บ่งบอก	/bòŋ bɔ̀ːk/
บ่งบอกถึง	/bòŋ bɔ̀ːk tʰɯ̌ŋ/
บจก.	/bɔː tɕɔː kɔː/
บช.	/ban tɕʰiː/
บช.น.	/kɔːŋ ban tɕʰaː kaːn tam rùːat ná kʰɔːn baːn/
บด	/bòt/
บดแข้ง	/bòt kʰɛ̂ːŋ/
บดบัง	/bòt baŋ/
บดินทรเทพยวรางกูร	/bɔː din tʰá ráʔ tʰêːp pʰáʔ jáʔ wáʔ raːŋ kuːn/
บดี	/bɔː diː/
บท	/bòt/
บทกรรม	/bòt kam má/
บทกวี	/bòt kà wiː/
บทกวีนิพนธ์	/bòt kà wiː níʔ pʰon/
บทกวีแนวขบขัน	/bòt kà wiː nɛːw kʰòp kʰǎn/
บทเกี้ยวพาราสี	/bòt kîːaw pʰaː raː sǐː/
บทขยายกรรม	/bòt kʰà jǎːj kam/
บทขยายกริยา	/bòt kʰà jǎːj kà ríʔ jaː/
บทขยายประธาน	/bòt kʰà jǎːj pràʔ tʰaːn/
บทขยายวิเศษณ์	/bòt kʰà jǎːj wíʔ sèːt/
บทความ	/bòt kʰwaːm/
บทเฉพาะกาล	/bòt tɕʰà pʰɔ́ʔ kaːn/
ก็	/kɔ̂ː/
ก็คือ	/kɔ̂ː kʰɯː/
ก็จริง	/kɔ̂ː tɕiŋ/
ก็จริงอยู่	/kɔ̂ː tɕiŋ jùː/
ก็ช่าง	/kɔ̂ː tɕʰâŋ/
ก็ได้	/kɔ̂ː dâj/
ก็ได้	/kɔ̂ː dâj/
ก็ได้	/kɔ̂ː dâj/
ก็ได้	/kɔ̂ː dâj/
ข.	/pʰaː sǎː kʰà měːn/
ขก.	/kʰɔ̌ːn kɛ̀n/
ขงจื๊อ	/kʰǒŋ tɕɯ́ː/
ขจร	/kʰà tɕɔːn/
ขจรขจาย	/kʰà tɕɔːn kʰà tɕaːj/
ขจัด	/kʰà tɕàt/
ขจัดปัดเป่า	/kʰà tɕàt pàt pàw/
ขจาย	/kʰà tɕaːj/
ขจิริด	/kʰà tɕìʔ rít/
ขจี	/kʰà tɕiː/
ขโจร	/kʰà tɕoːn/
ขณะ	/kʰà nàʔ/
ขณะเดียวกัน	/kʰà nàʔ diːaw kan/
ป.	/pʰaː sǎː baː liː/
ป.ตรี	/pɔː triː/
ป.ป.ง.	/pɔː pɔː ŋɔː/
ป.ป.ช.	/pɔː pɔː tɕʰɔː/
ป.พ.พ.	/pɔː pʰɔː pʰɔː/
ป.ล.	/pɔː lɔː/
ปก	/pòk/
ปกแข็ง	/pòk kʰɛ̌ŋ/
ปกคลุม	/pòk kʰlum/
ปกคอเสื้อ	/pòk kʰɔː sɯ̂ːa/
ปกป้อง	/pòk pɔ̂ːŋ/
ปกปักใจรักษา	/pòk pàk tɕaj rák sǎː/
ปกปิด	/pòk pìt/
ปกปิดกลเม็ด	/pòk pìt kon lá mét/
ปกเสื้อตอนหน้า	/pòk sɯ̂ːa tɔːn nâː/
ปกหนังสือ	/pòk nǎŋ sɯ̌ː/
ปกอ่อน	/pòk ʔɔ̀ːn/
ปกครอง	/pòk kʰrɔːŋ/
ปกครองบุตร	/pòk kʰrɔːŋ bùt/
ปกติ	/pà kà tìʔ/
ปกติวิสัย	/pà kà tìʔ wíʔ sǎj/
ปกปักรักษา	/pòk pàk rák sǎː/
ปกรณ์	/pà kɔːn/
ปกาเกอะญอ	/pà kaː kɤ̀ʔ jɔː/
ปกิณก	/pà kìʔ ná kà/
ปกิณกคดี	/pà kìʔ ná kà kʰá diː/
ปข.	/pràʔ tɕùːap kʰiː riː kʰǎn/
ปง	/poŋ/
ปจ.	/praː tɕiːn bùʔ riː/
ปชช.	/pɔː tɕʰɔː tɕʰɔː/
ปชชท.	/pɔː tɕʰɔː tɕʰɔː tʰɔː/
ปชต.	/pɔː tɕʰɔː tɔː/
ปชท.	/pɔː tɕʰɔː tʰɔː/
ปชป.	/pʰák pràʔ tɕʰaː tʰíʔ pàt/
ปชส.	/pràʔ tɕʰaː sǎm pʰan/
ปฏัก	/pà tàk/
คงจะไม่ได้อ่าน	/kʰoŋ tɕàʔ mâj dâj ʔàːn/
คงจะไม่ทำ	/kʰoŋ tɕàʔ mâj tʰam/
คงจะไม่ปิด	/kʰoŋ tɕàʔ mâj pìt/
คงจะไม่เปิด	/kʰoŋ tɕàʔ mâj pɤ̀ːt/
คงจะไม่ไป	/kʰoŋ tɕàʔ mâj paj/
คงจะไม่พักอยู่หลายวัน	/kʰoŋ tɕàʔ mâj pʰák jùː lǎːj wan/
คงจะไม่พูด	/kʰoŋ tɕàʔ mâj pʰûːt/
