𠻺	/a:˨/
㔏	/kɐk˧/, /lɪk˨/
㾗	/kɐk˧/, /lœ:ŋ˨/, /lɔ:ŋ˩˧/
㬬	/ɐk˥/, /kɵy˧˥/, /kɵy˨/
㭲	/kɪk˨/, /tsi:n˥/
㦽	/kʊk˥/, /tsʊk˥/
𠸐	/kʰɐm˥/
𢫏	/kʰɐm˧˥/
𡄎	/kɐm˧˥/
㕋	/kʰɐm˨˩/
㩒	/kɐm˨/
䃭	/kɐm˧˥/
㘚	/kɐm˥/, /hɐm˧/
䛓	/kɐm˥/, /hɐm˨˩/
㩒	/kɐm˨/, /kʰa:m˨˩/
㩒𨋢	/kɐm˨ li:p˥/
𡁵	/kɐn˧˥/
㘦	/kʰɐn˨˩/
㫔	/kɐn˧/
㝻	/kɐn˧˥/
𠼰	/kʰɐŋ˥/
𠶥	/kʰʊŋ˨˩/
𡎴	/kʊŋ˧/
𠾶	/kɪŋ˧˥/
㑋	/kʰʊŋ˨˩/
㒶	/kʊŋ˥/
㤨	/kʊŋ˧˥/
䓳	/kɪŋ˧/, /ha:n˧˥/
𫚉	/kʊŋ˥/, /hʊŋ˨˩/
㹵	/kɪŋ˧/, /hɪŋ˩˧/
㬌	/kɪŋ˧˥/, /kʰa:i˧/
㥤	/kɪŋ˥/, /kʰa:n˨˩/, /tsi:u˧˥/
㢣	/kʰɪŋ˨˩/, /kʰɪŋ˨˩/
㫒	/kʊŋ˥/, /kʊŋ˧˥/
㧬	/kʊŋ˥/, /kʊŋ˧˥/, /ŋʊŋ˧˥/
䔛	/kʰɪŋ˧˥/, /lœ:k˨/
䁚	/kʰɪŋ˨˩/, /sy:n˧˥/
㕬	/kʊŋ˥/, /tsʊŋ˨/
䔈	/kʊŋ˧/, /wa:˥/
䓸	/kɐn˥/, /hɛ:k˧/, /tsi:n˨/
䲬	/kɐn˥/, /kʰei˨˩/, /tsi:˥/
䅐	/kɐn˧˥/, /tsi:n˨/
𠹭	/kʰɔ:˥/
𠵩	/kɔ:˧˥/
㢦	/kɔ:˥/
𪨗	/kœ:k˧/
㕁	/kʰœ:k˧/
䖼	/kœ:k˧/
㩖	/kʰœ:ŋ˨˩/
㩀	/kœ:ŋ˧/
㛨	/kœ:ŋ˧˥/
䲔	/kœ:ŋ˥/, /kʰɪŋ˨˩/
𡀲	/kɔ:i˥/
㧉	/kʰɔ:i˧/
㨟	/kɔ:i˥/
䪱	/kɔ:i˧˥/
䀭	/kɔ:i˥/, /hɐi˨˩/
㱾	/kɔ:i˥/, /hɔ:i˥/
䒧	/kɔ:i˥/, /hɵy˧/
䏗	/kʰɔ:i˧/, /kʰu:i˧˥/
㱯	/kɔ:i˥/, /ŋɔ:i˨˩/
㤩	/kʰɔ:k˧/
䇶	/kɔ:k˧/
䫦	/kɔ:k˧/, /ha:p˧/, /kʰɔ:i˧/
㠷	/kɔ:k˧/, /hɔ:n˨/, /kʰa:u˧/
䁷	/kɔ:k˧/, /ʊk˥/, /tsʊk˥/
䉓	/kʰɔ:k˧/, /lɔ:k˧/, /lɔ:k˨/
㐹	/kɔ:˥/, /kʰwɔ:k˧/, /ŋa:t˨/
㗻	/kɔ:˨/, /kwɔ:˥/, /kwɔ:˧/
𣔼	/kɔ:n˥/
㿻	/kɔ:n˥/
䵟	/kɔ:n˧˥/
𧊵	/kɔ:ŋ˧/
㰠	/kʰɔ:ŋ˧/
㢜	/kʰɔ:ŋ˧˥/
㓻	/kɔ:ŋ˥/
䁰	/kɔ:ŋ˧˥/
䐟	/kɔ:ŋ˧˥/, /hɔ:ŋ˨/, /ŋa:u˥/
䊯	/kʰɔ:ŋ˨˩/, /kʰwɔ:ŋ˧/
㶥	/kɔ:n˥/, /sœ:ŋ˧˥/
𠰲	/kɔ:t˥/
䈓	/kɔ:t˧/, /ha:p˥/
㓣	/kɔ:t˧/, /tsɐk˨/
𣓌	/kou˥/
𣉞	/kou˧˥/
㟸	/kou˥/
㚖	/kou˧˥/
㚏	/kou˧˥/, /tsy:˩˧/
㠊	/kʰɵy˥/
㜹	/kʰɵy˨˩/
㜘	/kɵy˨/
㪯	/kɵy˧˥/
䣰	/kɵy˨/, /hɐi˨˩/
㓚	/kɵy˨/, /kʊŋ˥/, /kʰʊŋ˨˩/
䔅	/kɵy˥/, /kɔ:˥/
㲘	/kʰɵy˨˩/, /kʰu:i˧˥/
㯫	/kʰɵy˨˩/, /ŋa:u˥/
𢲩	/kʰɐp˥/
𥄫	/kɐp˨/
㒆	/kʰɐp˥/
䀹	/kɐp˨/
㱄	/kɐp˧/, /ha:k˥/, /ma:k˨/
𠶲	/kɐp˨/, /kʰɐp˨/
㼪	/kɐp˧/, /tʰi:u˩˧/, /tsa:u˥/, /tsi:p˧/
䀹	/kɐp˨/, /tsi:p˧/
㓤	/kɐt˥/
㓤	/kɐt˥/, /hɔ:t˧/, /kʰi:t˧/, /kʰi:t˨/
𠴰	/kɐu˨/
𦱄	/ku:˥/
𦍩	/ku:˧˥/
㛏	/kʰɐu˨˩/
㝌	/kɐu˧/
㺃	/kɐu˧˥/
㼋	/ku:˥/
㚉	/ku:˧˥/
䡈	/kɐu˧/, /hei˧/
䰘	/kɐu˧˥/, /hi:p˧/, /la:u˨˩/
㱮	/kʰu:i˧˥/
䠩	/ku:i˨/
䙌	/ku:i˧˥/, /kʰu:i˧˥/
㹟	/kʰu:i˧˥/, /kʰy:t˧/
䛩	/kʰu:i˧˥/, /ɔ:k˧/, /wu:˧/
㷐	/kʰu:i˧˥/, /wa:i˧˥/
䢋	/kɐu˧˥/, /kei˨/
䀊	/kɐu˧˥/, /kei˧/, /kei˨/, /hɐu˨/
㧽	/ku:˧/, /kʊk˨/
㘙	/kɐu˥/, /kɐu˧˥/, /hɐu˨/, /ŋɐm˨˩/
㮡	/ku:n˧/
䏓	/ku:n˧˥/
㐫	/ku:n˧/, /hʊŋ˥/, /tsʊŋ˥/
䘾	/ku:n˧˥/, /kʰɔ:ŋ˧/
㷄	/ku:n˧/, /kʰu:i˧˥/
䗆	/ku:n˥/, /ku:n˧˥/, /sʊŋ˥/
䲘	/ku:n˧˥/, /sʊŋ˥/
㺢	/kʰu:t˧/
䧸	/ku:˥/, /tsɪŋ˨˩/
㪱	/kʰu:t˧/, /wu:n˨/
䉉	/ku:˥/, /wu:˨˩/
䋀	/kʰwa:˧/
㧓	/kwa:˥/
䈑	/kwa:˧˥/
𧊅	/kwa:i˧˥/
㛻	/kʰwa:i˧˥/
㙺	/kwa:i˨/
䌆	/kwa:i˧˥/
㕤	/kwa:i˧˥/, /kʰa:u˨˩/
䶯	/kwa:i˥/, /kwa:i˧˥/, /kʰwa:i˥/
㻑	/kwa:i˧/, /kwɐn˧/
㨳	/kwa:i˧˥/, /kʰy:t˧/, /wɐn˨˩/
䢖	/kwa:i˧/, /lɵt˨/, /wa:t˨/
䃬	/kwa:i˥/, /ŋa:i˩˧/
㧪	/kwa:i˧˥/, /ŋa:i˨˩/
㠏	/kwa:i˧/, /wa:˨˩/, /wɐt˨/
㜳	/kwa:i˥/, /wɐi˨˩/
𡃈	/kʰwa:k˥/
𡃈	/kʰwa:k˥/, /kʰwa:k˧/
𨶹	/kwa:n˥/
㡓	/kʰwa:n˥/
㻒	/kʰwa:n˧˥/
䚪	/kwa:n˥/
㨰	/kwa:n˧˥/
㧦	/kwa:ŋ˥/, /hy:n˧/
䍔	/kwa:ŋ˥/, /wa:ŋ˨˩/
䎕	/kwa:ŋ˥/, /wa:t˨/
㒭	/kʰwa:n˥/, /kʰwa:n˥/, /lɵy˨˩/
㖥	/kʰwa:n˧/, /lɵn˥/, /tsɵn˥/
㴫	/kwa:n˨/, /ŋa:˨˩/
䙛	/kwa:n˧˥/, /wa:n˨/
䪲	/kʰwa:n˥/, /wa:n˨˩/, /wa:n˨/
㙥	/kwa:n˧˥/, /wa:n˨/, /wɐt˨/
𡁸	/kʰwa:t˥/
㩿	/kwa:t˨/
㓉	/kwa:t˧/, /kwɐt˧/, /kʰu:t˧/, /wu:n˨/, /wu:t˨/
䯇	/kwa:t˨/, /kʰy:t˧/
䴜	/kwa:t˧/, /nei˨/, /wa:i˥/, /wɐi˨˩/, /wu:n˨/
㑮	/kwa:t˥/, /wa:n˨˩/
㠨	/kwa:t˥/, /wa:t˥/
䱻	/kwa:t˥/, /wa:˨˩/, /wɐt˨/
䮩	/kwa:t˥/, /wu:t˨/
𠺌	/kwɛ:˥/
𪚩	/kwɐi˥/
䂓	/kʰwɐi˥/
㔒	/kʰwɐi˨˩/
㑧	/kwɐi˧/
㸵	/kwɐi˧˥/
㧔	/kwɐi˧/, /tʰi:m˨˩/
䧍	/kwɪk˥/
䬘	/kwɪk˥/, /hɐu˥/, /hou˧/, /mɐn˩˧/, /tsɪŋ˨˩/
䦗	/kwɪk˥/, /kʰwɪk˥/
䴗	/kwɪk˥/, /kwɪŋ˧˥/
䧐	/kwɪk˥/, /kwɔ:k˧/, /wɔ:ŋ˨/
㷦	/kwɪk˥/, /tsɪk˨/
㶁	/kwɪk˥/, /wɐk˨/
𠳁	/kʰwɐn˧/
㟒	/kʰwɐn˥/
㪊	/kʰwɐn˨˩/
㚬	/kwɐn˥/
㯻	/kwɐn˧˥/
𥔀	/kwɐŋ˥/
𡆀	/kwɐŋ˧˥/
䌹	/kwɪŋ˥/
㓏	/kwɪŋ˧˥/
䁝	/kwɪŋ˥/, /tsɪŋ˨˩/
㷡	/kwɪŋ˧˥/, /wa:n˨˩/, /wɔ:˥/
㳀	/kwɔ:˧/
䙨	/kwɔ:˧˥/
㗥	/kʰwɔ:k˧/
㕵	/kwɔ:k˧/
㰌	/kwɔ:k˧/, /hɔ:k˨/, /kʰɔ:k˧/
䭽	/kwɔ:k˧/, /kʰwa:n˨˩/
䬎	/kwɔ:k˧/, /kʰwɔ:ŋ˨˩/
㞅	/kwɔ:˧˥/, /kʰɔ:ŋ˧/, /kʰwɔ:k˧/
䤋	/kwɔ:k˧/, /wɪk˨/
䣬	/kwɔ:˥/, /lɔ:˧˥/
㾠	/kʰwɔ:ŋ˨˩/
㫕	/kwɔ:ŋ˥/
㫛	/kwɔ:ŋ˧˥/
㤮	/kwɔ:ŋ˧˥/, /kʰwɔ:ŋ˨˩/
䵃	/kʰwɔ:ŋ˧/, /wɔ:ŋ˨˩/
𥇣	/kwɐt˨/
㒴	/kwɐt˥/
𠵯	/kwɪt˥/, /kwɪt˧/
㑹	/kwɐt˧/, /mɔ:k˨/, /wu:i˨/
䑏	/kʰy:n˨˩/
㢾	/ky:n˧/
㢧	/ky:n˧˥/
䅌	/ky:n˥/, /ha:˥/, /sy:n˨/
㪻	/ky:n˧/, /hy:n˧/
䉵	/ky:n˨/, /tsɐn˨/, /tsy:n˧˥/
㳙	/ky:n˥/, /tsy:n˩˧/
𫐆	/kʰy:t˧/
䀗	/kʰy:t˧/
㭈	/kʰy:t˧/, /lɐi˨/
㵐	/kʰy:t˧/, /tsy:t˧/
䮹	/kʰy:t˧/, /wa:i˧/
㜧	/kʰy:t˧/, /wa:t˥/
K仔	/kʰei˥ tsɐi˧˥/
K金	/kʰei˥ kɐm˥/
𡅈	/la:˧/
㙤	/la:˧/
㗿	/la:˨˩/
label	/lei˥ pou˧˥/
𡃤	/la:i˨/
𦧺	/la:i˧˥/
䄤	/la:i˨/
㥎	/la:i˨˩/
𦧺	/la:i˧˥/, /la:i˩˧/
䋥	/la:i˨/, /lei˨˩/
㰚	/la:i˨˩/, /lei˨˩/
䜲	/la:i˨/, /li:p˨/
䘈	/la:i˨/, /li:t˨/
䚕	/la:i˨/, /lɐk˨/
䣦	/la:i˨/, /lɵy˨/
𨊛	/la:k˧/
㖀	/la:k˨/, /lɐk˨/, /lɵt˧/
𨅏	/la:m˧/
㜮	/la:m˨/
㞩	/la:m˨˩/
䫐	/la:m˨˩/, /la:u˩˧/
䎆	/la:m˩˧/, /li:u˨/, /lɔ:˧˥/
䌫	/la:m˨/, /lɵy˨/, /li:p˨/
𢦂	/la:n˧˥/
㱫	/la:n˨/
㘓	/la:n˨˩/
𢲡	/la:˧˥/, /na:˥/
𥅈	/la:p˧/
䂰	/la:p˨/
㧜	/la:p˧/, /la:p˨/, /li:p˨/
䁽	/la:p˧/, /li:p˨/
last	/la:˥ si:˨/
㻋	/la:t˨/
䁖	/la:u˥/
㟺	/la:u˨˩/
䱾	/la:u˥/, /la:u˨˩/
㳅	/la:u˨˩/, /la:u˩˧/
䱖	/la:u˨˩/, /la:u˨/, /li:u˥/
㡞	/la:u˨˩/, /la:u˩˧/, /lɵy˩˧/
㤠	/la:u˨˩/, /li:t˨/
㙩	/la:u˨/, /li:u˨˩/, /li:u˨˩/
䮫	/la:u˨˩/, /lou˨˩/
䋷	/la:u˨˩/, /ma:u˨˩/
䓝	/la:u˨˩/, /mɐŋ˨/
㜷	/la:u˨˩/, /nɐi˩˧/
㺏	/la:u˨˩/, /tsy:˨˩/
𠻗	/lɛ:˨˩/
𥝢	/lei˨/
𢃇	/lei˩˧/
㤦	/lei˨/
㒿	/lei˨˩/
䂾	/lei˨˩/, /lɔ:i˧˥/
㗚	/lei˨/, /lɵt˨/
㲠	/lei˨˩/, /mou˨˩/
𡃁	/lɛ:ŋ˥/
䈊	/lɛ:ŋ˥/, /lɪŋ˨˩/, /lɪŋ˨˩/, /li:u˨˩/
𧢝	/lɐi˨/
𡂖	/lɐi˧˥/
㒧	/lɐi˨/
㠟	/lɐi˨˩/
㩒lift	/kɐm˨ li:p˥/
lift	/li:p˥/
lift口	/li:p˥ hɐu˧˥/
lift槽	/li:p˥ tsʰou˨˩/
lift門	/li:p˥ mu:n˨˩/
䲚	/lɐi˨/, /lɐm˨/
㕸	/lɐi˨/, /lɐp˥/, /lɐp˨/
㸊	/lɐi˨/, /lɐt˨/
𢅏	/li:m˨˩/
㶑	/li:m˨/
㝺	/li:m˨˩/
㪝	/li:n˨/
㜕	/li:n˨˩/
𨋢	/li:p˥/
㯿	/li:p˨/
𤹐	/li:t˧/
㬯	/li:t˨/
㞌	/lɐi˥/, /tsa:n˨/
㻓	/li:t˨/, /tsa:u˥/
㡻	/li:u˨/
㝋	/li:u˩˧/
㶫	/li:u˨˩/, /li:u˨/
㟹	/li:u˨˩/, /lou˨˩/
𢮑	/lʊk˥/
㓐	/lʊk˨/
㺡	/lɪk˨/, /li:m˩˧/
䥶	/lɪk˨/, /lœ:k˧/
䐂	/lʊk˨/, /ly:n˨˩/
䀥	/lɪk˨/, /sœ:k˧/
𡒄	/lɐm˩˧/
㨆	/lɐm˨/
㐭	/lɐm˩˧/
䆂	/lɐm˨˩/, /li:m˨˩/
㝝	/lɐm˨˩/, /lɐm˨/
㑣	/lɐm˧˥/, /lɐm˨˩/
㓓	/lɐm˩˧/, /nɐm˨˩/
䉷	/lɐm˨˩/, /tsi:m˨˩/
𨶙	/lɐn˧˥/
𢙱	/lʊŋ˨/
𤮨	/lʊŋ˨˩/
㑝	/lʊŋ˨/
㖫	/lɪŋ˨˩/
㡵	/lɪŋ˨˩/, /lɪŋ˩˧/
㺪	/lʊŋ˨˩/, /pʰɔ:k˧/
𠹌	/lɐn˧˥/, /lɐŋ˥/, /lɐŋ˧/, /nɐŋ˧/
𠹹	/lɐn˨˩/, /lɵn˨˩/
𤓓	/lɔ:˧/
㿚	/lɔ:˨/
㑩	/lɔ:˨˩/
㑼	/lœ:k˨/
䁁	/lœ:ŋ˨/
㒳	/lœ:ŋ˩˧/
䣼	/lœ:ŋ˨˩/, /lœ:ŋ˨˩/
䩫	/lœ:ŋ˩˧/, /lɔ:ŋ˨˩/
䀶	/lœ:ŋ˨/, /lɔ:ŋ˨˩/, /lɔ:ŋ˩˧/
㾢	/lɔ:i˨/
䅘	/lɔ:i˨˩/
䚅	/lɔ:i˨˩/, /lɔ:i˨/
㚓	/lɔ:i˨˩/, /lɔ:i˨˩/
䛶	/lɔ:i˨/, /lɔ:k˨/
𡀩	/lɔ:k˥/
㓢	/lɔ:k˧/
㦡	/lɔ:k˧/, /lɔ:k˨/
䀩	/lɔ:k˨/, /lɔ:ŋ˩˧/
䃕	/lɔ:k˨/, /lou˨˩/
䄘	/lɔ:k˨/, /pʰɐŋ˨˩/, /pʰɪŋ˥/, /tʰɵy˧/, /tsa:i˧/, /tsi:˨˩/
㖁	/lɵn˨/
㔂	/lɵn˨˩/
𧚅	/lɔ:ŋ˨/
𠺘	/lɔ:ŋ˧˥/
䍚	/lɔ:ŋ˨/
廊	/lɔ:ŋ˨˩/
𢲲	/lɔ:ŋ˧/, /lɔ:ŋ˨/
𠺘	/lɔ:ŋ˥/, /lɔ:ŋ˧˥/
䯖	/lɔ:ŋ˨˩/, /lou˨/
㼈	/lɵn˨/, /lɔ:˨˩/
㖮	/lɵn˨˩/, /lɵn˨˩/
䉮	/lɵn˨/, /lɔ:ŋ˩˧/, /mɔ:ŋ˨˩/
䋄	/lɵn˨˩/, /mɔ:ŋ˩˧/
㮚	/lɵt˨/
㯝	/lɵt˨/, /lou˨/
䴶	/lɵt˨/, /mi:u˨˩/, /pʰʊŋ˨˩/
㧒	/lɵt˨/, /wa:t˨/
𡀔	/lou˨/
虜	/lou˩˧/
㪭	/lou˨˩/, /lou˨/
䥷	/lou˩˧/, /tsɐn˧˥/, /tsɐt˧/
𧭜	/lɵy˨/
㑦	/lɵy˨/
㑍	/lɵy˩˧/
䇔	/lɵy˨/, /lɔ:˨/
㗊	/lɵy˨˩/, /lɔ:˨˩/
䔞	/lɵy˨/, /lɵt˨/
𫁡	/lɐp˨/
㕇	/lɐp˧/
䤚	/lɐp˨/, /lei˩˧/
䉭	/lɐp˨/, /li:p˨/
𢫫	/lɐt˥/
䀳	/lɐt˧/
䏀	/lɐt˨/, /li:t˨/
𤠑	/lɐu˨˩/
㔷	/lɐu˨/
㐬	/lɐu˨˩/
𪢮	/ly:n˨˩/
㜻	/ly:n˧˥/
㜃	/ly:n˧˥/, /ly:t˨/
㭞	/ly:t˧/
㭩	/ly:t˧/, /ly:t˨/
㐷	/ma:˨/
㦄	/ma:˨˩/
𠹺	/ma:i˨˩/
㜆	/ma:i˨˩/
㩢	/ma:i˨˩/, /mi:t˨/
䠔	/ma:i˨˩/, /sɵy˨/
㦹	/ma:i˩˧/, /tsœ:ŋ˨˩/, /tsœ:ŋ˩˧/
䈿	/ma:k˨/
䨫	/ma:k˨/, /ma:n˨/
䁇	/ma:k˨/, /ma:t˨/
䘃	/ma:k˨/, /mɪk˨/, /mɔ:ŋ˨˩/
㾺	/ma:˧/, /ma:˨/
䗫	/ma:˧/, /ma:˨˩/
䵢	/ma:˧/, /ma:˨/, /mei˨/, /mu:i˨/
㑻	/ma:˨/, /mei˩˧/
䳸	/ma:˨˩/, /mɐi˨˩/, /mi:n˩˧/
䯦	/ma:˧/, /mu:t˨/
𢺳	/ma:n˥/
㗈	/ma:n˨/
㨉	/ma:n˩˧/
䁅	/ma:ŋ˩˧/
䎹	/ma:n˨˩/, /ma:n˨/
㗃	/ma:n˨˩/, /ma:n˩˧/
man	/mɛ:n˥/
㝰	/ma:n˩˧/, /mi:n˨˩/
䲄	/ma:n˩˧/, /mɐŋ˨˩/
㸪	/ma:n˩˧/, /sɵn˨˩/
䠚	/ma:t˨/
䁾	/ma:t˨/, /mi:t˨/
䊅	/ma:t˨/, /mɪŋ˨˩/
䀛	/ma:t˨/, /mu:i˨/
𢘅	/ma:u˨˩/
㮘	/ma:u˨/
䖥	/ma:u˨˩/
䏬	/ma:u˨˩/, /mi:n˨˩/, /mu:i˨˩/
䋞	/ma:u˩˧/, /mɔ:ŋ˨˩/, /mɔ:ŋ˩˧/, /mou˩˧/
䍒	/ma:u˩˧/, /mou˨˩/
䤊	/ma:u˨˩/, /tsʊŋ˨˩/
𡥼	/mɛ:˥/
mean	/mi:n˥/
𧋦	/mei˥/
䉋	/mei˨/
㜫	/mei˩˧/
㖇	/mei˥/, /ji:˨˩/, /tsi:˨˩/
䁲	/mei˥/, /ma:i˨˩/
䬿	/mei˩˧/, /mei˨/
䅏	/mei˩˧/, /mi:n˩˧/
䤂	/mei˨˩/, /mu:i˨˩/, /mu:i˨˩/, /mu:i˨/
㳽	/mei˨˩/, /nei˨˩/
䋛	/mɐi˩˧/
䨪	/mɐi˨˩/, /mɔ:˥/
㛯	/mi:n˩˧/
㒙	/mi:n˨˩/, /mi:n˨/
㮌	/mi:n˧˥/, /mi:n˨˩/, /mi:n˨/
䤄	/mi:n˩˧/, /mʊŋ˧˥/, /tsy:n˧˥/
㨺	/mi:n˩˧/, /mu:n˨˩/
䑚	/mi:n˩˧/, /tʰi:m˨˩/
miss	/mi:˥ si:˨˩/
䈼	/mi:t˨/
㒝	/mi:t˨/, /tsi:u˩˧/
𠴕	/mi:u˧˥/
㑤	/mi:u˨˩/
䚺	/mi:u˩˧/, /tsa:u˨˩/, /tsi:u˨˩/
㳐	/mi:u˩˧/, /tsɐt˧/
𦢓	/mɐk˨/
㙁	/mʊk˨/
㠡	/mʊk˨/, /ni:u˩˧/
㕲	/mʊk˥/, /tsɪŋ˨˩/
𩜠	/mɐm˥/, /ŋɐm˥/
𠍁	/mɐn˧/
㡈	/mɐn˨/
㞶	/mɐn˨˩/
𠱷	/mɪŋ˥/
𤷪	/mɐŋ˧˥/
㑟	/mɐŋ˥/
㙹	/mʊŋ˨˩/
𡁏	/ɐm˥/, /ŋɐm˥/
𠵼	/mɐŋ˥/, /mɐŋ˨˩/
䫤	/mɐŋ˥/, /mɪŋ˨˩/
㒼	/mɐŋ˨˩/, /mu:n˨˩/
䋲	/mɐŋ˩˧/, /sɪŋ˨˩/, /tsa:n˨/
𤷪𤺧	/mɐŋ˧˥ tsɐŋ˧˥/
䜑	/mʊŋ˨˩/, /wu:˧/
㣎	/mɐn˨/, /mʊk˨/
㜶	/mɐn˩˧/, /mɐn˨/
㙢	/mɐn˨/, /mɐŋ˨/
㗄	/mɐn˨˩/, /mɐn˨/, /mɪŋ˨˩/
䯶	/mɐn˨˩/, /mu:n˨˩/
䭴	/mɐn˩˧/, /wɐn˨˩/
䩋	/mɔ:˥/
䃺	/mɔ:˨˩/
㱳	/mɔ:k˨/
㷬	/mɔ:k˨/, /mʊŋ˨˩/
㹮	/mɔ:k˨/, /mou˨/
㿺	/mɔ:k˥/, /pʰɔ:k˥/
𥐞	/mɔ:ŋ˨˩/
㓁	/mɔ:ŋ˩˧/
㴇	/mɔ:ŋ˨˩/, /si:p˨/
㒻	/mou˨/
㑄	/mou˩˧/
㴘	/mou˨/, /mʊk˨/
䉑	/mou˨˩/, /mou˩˧/
㝟	/mou˨/, /mu:i˨/
䭷	/mou˨˩/, /wu:˨˩/
㫘	/mɐt˨/
𧿹	/mɐu˩˧/
䀤	/mɐu˨/
㖼	/mɐu˨˩/
𠵈	/mu:i˧˥/
㭑	/mu:i˨/
㺳	/mu:i˨˩/
㒵	/mɐu˨/, /mɔ:˥/
𠵘	/mu:n˨˩/
㥃	/mu:n˨/
㛧	/mu:n˩˧/
䫒	/mu:n˨˩/, /mʊŋ˨˩/
㞪	/mɐu˨/, /nɐu˨˩/
𠰌	/mu:t˥/
㶬	/mu:t˨/
M巾	/ɛ:m˥ kɐn˥/
䳛	/ɐn˧/
㜝	/ɐn˧˥/
𠸎	/na:˥/
䎎	/na:˩˧/
𠮨	/na:i˧/
𤶸	/na:˥/, /la:˥/
𨂾	/na:m˧/
䄒	/na:m˩˧/
𨂾	/na:m˧/, /la:m˧/
𢺋	/na:n˧/
𠸎𠸎㨢㨢	/na:˥ na:˥ nɐŋ˧ nɐŋ˧/, /la:˥ la:˥ lɐŋ˧ lɐŋ˧/
㴰	/na:ŋ˨˩/
䯮	/na:ŋ˨˩/, /nɐi˥/
㧱	/na:˨˩/, /nʊk˨/, /tsɐu˧˥/, /tsʊk˨/
𧕴	/na:n˧/, /la:n˧/
𠸎㨢	/na:˥ nɐŋ˧/, /la:˥ lɐŋ˧/
㑚	/na:˨˩/, /nɔ:˨˩/
㵊	/na:˨˩/, /sa:m˧˥/, /tsi:p˧/, /tsi:p˨/
䋾	/na:˩˧/, /tsɐp˧/
䛕	/na:˨˩/, /tsy:˨˩/
䬁	/na:˩˧/, /tsy:˨˩/, /tsy:˨/
𥑪	/na:u˨˩/
㚼	/na:u˧˥/
䅶	/na:u˨/, /tsi:˨˩/
㼶	/na:u˨/, /tsy:˨˩/
㛅	/nei˨/
㞾	/nei˨˩/
𨉖	/nei˥/, /ni:˥/
㼏	/nei˨/, /nɵy˩˧/
䏕	/nei˩˧/, /tsa:m˨/, /tsa:n˨/
𠽒	/nɛ:ŋ˧˥/
䪯	/ɐŋ˥/
㕶	/ŋ˨/
㐅	/ŋ˩˧/
𦜖	/ŋa:˨/
㧎	/ŋa:˨˩/
㙯	/ŋa:i˨/
㪒	/ŋa:i˨˩/
㹸	/ŋa:i˨˩/, /ŋa:i˨/
㜒	/ŋa:i˨/, /tsi:˩˧/
䐖	/ŋa:i˨˩/, /tsi:˨˩/
𠱘	/ŋa:k˨/
㙬	/ŋa:n˨˩/
䴦	/ŋa:n˨˩/, /ŋɐi˨˩/
䇵	/ŋa:n˨˩/, /tsi:˨˩/
㐳	/ŋa:t˨/
䅎	/ŋa:˨˩/, /tsa:u˩˧/
㞕	/ŋa:t˨/, /si:t˧/
㽾	/ŋa:t˨/, /tsa:t˨/
𢯎	/ŋa:u˥/
𥁒	/ŋa:u˨˩/
㽛	/ŋa:u˥/
㒖	/ŋa:u˩˧/
𢯎	/ŋa:u˥/, /a:u˥/
𠴳	/ŋa:u˥/, /ŋa:u˧/
䗤	/ŋa:u˩˧/, /tsʊŋ˨˩/
䍓	/ŋa:˨˩/, /wu:˨/
𠱓	/ŋɐi˥/
𫐐	/ŋɐi˨˩/
㘷	/ŋɐi˨/
𠼮	/ŋɐi˥/, /ɐi˥/
𠼮	/ŋɐi˥/, /ŋi:˥/
䩹	/ŋɐk˨/
㾘	/ɐŋ˧˥/, /kɐŋ˧˥/, /ŋɐŋ˧˥/
㒄	/ŋɐm˨˩/, /tsi:m˩˧/
㷳	/ŋɐn˨/
㘖	/ŋɐn˨˩/
𢫨	/ŋʊŋ˧˥/
䮏	/ŋ˨˩/, /ŋ˨/
䤝	/ŋɐŋ˨/
䫓	/ŋ˨˩/, /ŋa:˨˩/
𢫨	/ŋʊŋ˧˥/, /ʊŋ˧˥/
㧬	/ŋʊŋ˧˥/, /ʊŋ˧˥/
𡃵	/ŋʊŋ˥/, /ŋʊŋ˧˥/
㟁	/ŋɐŋ˨/, /ŋɔ:n˨/
䟴	/ŋɐn˧/, /ɐn˧/
䮗	/ŋɐn˨/, /ŋɔ:n˨/
䟴	/ŋɐn˧/, /tsa:n˥/, /tsa:n˧/
𠹷	/ŋɔ:˨˩/
㦱	/ŋɔ:˩˧/
𫘤	/ŋɔ:i˨˩/
㕌	/ŋɔ:i˨/, /tsɐk˨/
𩓥	/ŋɔ:k˨/
㓵	/ŋɔ:k˨/
𩓥	/ŋɔ:k˨/, /ɔ:k˨/
㗁	/ŋɔ:k˨/, /tsi:t˨/
𩣑	/ŋɔ:n˥/
㸩	/ŋɔ:n˨/
㭿	/ŋɔ:ŋ˨˩/
䐥	/ŋɔ:ŋ˧/, /ŋʊŋ˧/
㓟	/ŋɔ:˨˩/, /pʰɐi˥/, /pʰei˥/
𦪈	/ŋou˧/
㜜	/ŋou˨/
㠂	/ŋou˨˩/
𢳆	/ŋou˨˩/, /ŋou˨/
㟼	/ŋou˨˩/, /ŋou˨˩/
𢳆	/ŋou˨˩/, /ou˨˩/
㥿	/ŋou˨/, /tʰi:m˩˧/
㮁	/ŋɐu˨˩/
䀚	/ŋɐu˨˩/, /ŋɔ:ŋ˨˩/
